title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
,hi since recruiter lead permission approve requisitions makes please make thanks recruiter,1,4,2,21,71,3,4
connection with icon,icon dear please setup icon per icon engineers please let other details needed thanks lead,1,6,22,7,26,3,4
work experience user,work experience user hi work experience student coming next his name much appreciate him duration thank,1,5,13,7,32,3,4
requesting for meeting,requesting meeting hi please help follow equipments cable pc cord plug,1,5,13,7,32,3,4
reset passwords for external accounts,re expire days hi ask help update passwords colleagues thank pm expire days importance high hi received about expiration please kindly help prolongation best regards pm expire days importance high dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours,1,4,2,76,4,3,4
mail,verification warning hi has got attached please addresses best regards monitoring analyst verification warning,1,4,3,7,89,3,4
mail,please dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,1,4,3,87,89,3,4
prod servers tunneling,prod tunneling va la tunneling la host si la si host host cards port name bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq tuesday pm acre re tunneling si pm acre re tunneling extended object host extended host extended object host range extended host range administrator re sector pm acre re tunneling va la si la tunneling design lead ext friday pm re tunneling va extended object host extended host administrator re sector pm tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext con care pot partial strict si pot ale care va la contains proprietary information which legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error has misdirected please notify author by replying intended recipient must disclose distribute copy print rely,1,6,22,21,95,3,4
access request,dear modules report report cost thank much regards,1,4,1,7,66,3,4
reset passwords for our client and,passwords client dear please passwords thank,1,5,2,76,4,3,4
direct reports missing time,please action reports dear way help close these maternity leave complete submit her left he technically left he client work after rd submit after delete period days two public holidays possible add thanks please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,1,4,2,7,67,3,4
laptop connected on request rebuild,connected rebuild hi please provide order debug sip trunk gateway wireless wired connected regards,1,5,13,7,32,3,4
device recovery report printer alert duplex unit is not set,device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,1,5,13,60,74,3,4
new starter,hello please fill date,1,4,2,94,40,3,4
visual studio license,visual studio license hello developer visual studio license thank best regards developer,1,5,3,7,32,3,4
system,hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,1,5,13,21,32,3,4
access for secondary,secondary hi please provide secondary ledger users please provide existing roles assigned these users prod test please create thank kind regards analyst,1,4,1,7,66,3,4
list sent copy,copy hi receive copy behavior expect receive myself thanks front developer,1,4,3,88,36,3,4
new purchase po,purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,1,5,13,7,32,3,4
invitation to cloud strategy workshop february manchester,invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered by azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital give tools how embrace perfect environment wednesday february where sir busby way manchester further information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march where street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,1,4,2,7,89,3,4
change sales owner for contract,change owner contract hello please log thanks best regards senior engineer pm contract id pm pm la ca la si si please pm pm merci pm owner pm yep pm,1,4,2,21,10,3,4
notification wireless devices upgrade cr medium,wireless devices upgrade cr medium hi please announce users about window wireless best regards senior engineer cr medium has by hello summary software upgrade release has approved by please wait until completed starting kind regards ref msg,1,6,22,60,52,3,4
direct reports list to be amended oracle,reports amended hello please call best regards reports amended hi guys please help match correctly too reports find please attached please move he right attached these move thank,1,4,2,21,67,3,4
adding new printer xerox on th floor,printer floor hi tried add printer floor show printers add manually help required steps thanks director central,1,5,1,7,74,3,4
badge access to be removed,badge removed dear please badge since he working anymore best regards,1,7,1,87,73,3,4
system,re hello please make injector device device pm hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,1,5,13,86,32,3,4
new purchase po,purchase po dear purchased has please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
check user accessibility,user accessibility hello please log assign best regards senior engineer pm pm pm please pm pm super,1,4,2,21,10,3,4
annual leave,re annual leave hello please help absence record today hello please thanks great best regards analyst pm annual leave hi please help registering off annual leave today take due urgent personal matters allow ongoing absence records please advise,1,4,2,7,67,3,4
change project manager role oracle,change role hello dear please change pm role starting kind regards discipline lead,1,4,2,21,66,3,4
does laptop have,hello tomorrow trip senior developer mobile,1,5,13,88,32,3,4
port opening,port opening hello port machine packages provided subcontractors also also please add tunneling azure machines thanks design lead ext,1,6,22,21,26,3,4
network access,hello received workstation granted ad please help thanks,1,4,1,7,26,3,4
new purchase po,purchase po dear purchased please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
access card,re card va se,1,7,1,21,73,3,4
undelivered mail returned to sender,undelivered returned hi getting these undelivered messages instead actual complete messages issue side client regards pm undelivered returned host sorry inform more attached further assistance please please include problem report delete own text attached returned host cluster said sorry has blacklisted refer troubleshooting more information rcpt command,1,4,3,88,36,3,4
mailbox almost full,mailbox almost hi mailbox almost kind thanks regards senior infrastructure engineer infrastructure upcoming holiday none id,1,4,2,7,36,3,4
new purchase po,purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
opportunity into pas known pipeline,opportunity known pipeline hi please import bellow opportunity known pipeline opportunity id thanks officer,1,4,3,7,70,3,4
shared folder on and access,shared folder dear please assist creating shared folder well granting him folder thanks kind regards engineer,1,4,1,7,38,3,4
submit your time cards for approval,please action submit cards hi keep getting reminders regarding complete left left october neither cannot kind enough update records please under code days then kindly both update record thanks head please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,21,67,3,4
submit your time cards for approval notification,please action submit cards hi queried these alerts told ignore transition resolved by arriving believe these date formally moved refer timecards over old continue ignore these alerts switched off somehow think queried nearly four months ago alerts come every cheers editorial consultant please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,105,67,3,4
new purchase po,purchase po dear purchased matte display please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
need new,hi guys please details hosted building hyper infrastructure location mandatory since client accept his other than machine operating newer purposes cpu disk worry about partitioning handle needs accessible networks also needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client thank engineer,1,6,22,7,95,3,4
new starter account republic of macedonia kale building,starter form induction hi please assist completion attached return form empty part thank officer,1,4,2,7,43,3,4
clone self service dashboard,clone self dashboard hello writing ask help cloning self widget report snow profile onto profile reason requesting uses these reports monitor tickets logged self best interest report available within consider needs also added each member profile sd specialists please liaise please note by snow kind regards engineer mobile,1,4,2,7,43,3,4
wants to access requesting it hardware equipment,wants requesting hardware equipment monitor accept decline requests,1,4,1,7,46,3,4
we need new groups for our testing crazy,groups testing add users needed owner these groups users members port test sitting dancing hammer muffin crazy thank,1,4,3,7,36,3,4
milestone licensing service,re milestone licensing agreed well then please assist please log queue thank re milestone licensing hi seems sensible idea generally problem restricted given addresses say vendor sites licensing makes device updates easier cheers milestone licensing hi milestone needs license revalidated camera modified far exported license file supplier then validates sends file back import objects communicate presuming validation runs same documentation specify,1,6,1,7,32,3,4
remove from,re hi part sector owners right how name added part sector please owners thank kind regards,1,4,2,87,46,3,4
assign new access card,re lost card hello va ii alt card se la,1,4,1,7,73,3,4
new purchase po,purchase po dear purchased received items date february mobile subscription updated include device under user name link please add allocation device thanks kind regards administrator,1,5,13,7,32,3,4
leaver service now,leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,43,3,4
monitoring shared mailbox,monitoring shared mailbox hello please creation shared mailbox named monitoring members let further details required lead,1,4,2,7,36,3,4
new purchase po,purchase po dear purchased monitor please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
new delivery,hello received po please advise log kind regards engineer ext,1,5,13,86,32,3,4
add to network,hello please add thank,1,4,2,7,4,3,4
job title,job title hi note title treasury while please ask thanks mobility officer,1,4,2,21,36,3,4
password reset,hi cannot please best regards specialist retention rotterdam tuesday thursday friday hi changed work please best regards specialist retention rotterdam tuesday thursday friday information contained communication confidential legally privileged intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action relation contents information strictly prohibited unlawful neither nor represented liable complete transmission contents timely receipt institutional registered under,1,4,2,76,4,3,4
bit bucket account,bit bucket hello bit bucket thank,1,4,2,7,19,3,4
new delivery,hello received today po black cooler notebook please advise please log receiving goods thanks technician,1,5,13,7,32,3,4
access to,dear please permission link bit bucket accumulations browse thanks tester,1,4,1,7,19,3,4
cc and expenditure types guide,expenditure types guide hi please find attached latest expenditure types guide please kindly share other colleagues whom hand type please touch teams thank best regards,1,4,3,7,46,3,4
reset time card,card hi guys please card period thank application engineer,1,4,2,21,67,3,4
storage access,storage hello please storage order setup environment regards engineer mob,1,4,1,7,38,3,4
access for review contract setup,re review contract setup hi please assign thank engineer review contract setup dear kindly ask give report review contract setup add report column which shows creator created by each contract background contracts setup prod needs overview contracts created prod persons created these contracts prod billing important has setup contracts going friday tried extract information name person has created contract find updated by column persons information kindly well about other members report picture think helpful call matter thank help great analyst,1,4,2,21,66,3,4
new purchase po,purchase po dear purchased requested by type cable micro mini adaptor mini female adaptor male female please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
report for,report hi please inform mentioned user forbidden well cracks please cracked best regards monitoring analyst,1,5,15,87,32,3,4
access to folders,folders dear please joiner today given same folders important treasury thanks head tax treasury pm re folders fine wrote hi please given same folders thanks head tax treasury,1,4,1,7,38,3,4
de password change,wants hi change which until forced by change via has procedure changed recently regards accept decline requests,1,4,2,76,4,3,4
monitor add install new monitor,monitor hello dear had monitor discussed he told leave tower give thank,1,5,13,7,32,3,4
please cancel incidents as they are duplicates,please cancel incidents duplicates hello please incidents cancel highlighted best regards senior engineer ext zone,1,4,2,21,43,3,4
revise access to location,revise location hello please revise location users left please find attached also clear additional users contributors role collection attached additional contributors picture view please regards senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has,1,4,2,21,92,3,4
set up com com as exception for all,complaint regarding resolution hello please approved by moderator please close complaint off thanks re complaint regarding resolution please proceed regards complaint regarding resolution hi help surveys lists surveys evaluating moves annual satisfaction ones thanks clarifying helping progress friday pm complaint regarding resolution hi writing regards complaint excerpt tuesday pm feedback how move hello please informed checked has moderator means each has approved by moderator he has out automatic informs delay flow process please let further information assistance needed kind regards analyst allow offer bit context while back were entire lists which caused corrective action limitations were members groups allowed lists were expand said directly personal instead corrective action moderators were lists under moderated means expanded once wait moderator approve users groups added exceptions said lists permissions thus bypass moderator altogether solution recommend ask make every location order surveys out immediately reaching wait moderator approve course subject thank,1,4,2,21,36,3,4
quarantine you have new,dear re automatic seal tag machine pm kb re automatic seal tag machine kb deleted automatically after days change frequency these within log default locale,1,4,2,21,89,3,4
transfer license from one user to another,transfer license user hello left going please transfer his license replaced role best regards senior engineer,1,4,2,21,43,3,4
all staff outlook,hello please make cancel moved offices starting today relocated attached part thanks lovely,1,4,3,7,36,3,4
vs professional subscription support,vs professional subscription hello work tech stack assistance vs professional subscription objective activate azure benefit hands azure event representatives st without azure unable perform azure work during event issue sequence steps visual studio license status manage visual studio profile benefits azure error appears benefit azure subscription each subscription entitled corresponding free azure subscription subscription personal created user defined personal cannot azure instead azure work same please advise thank,1,4,15,7,32,3,4
transfer request access to win cl,tuesday pm re transfer form hello please find attached transfer form please note update document required cost centre id section wrong indirect cost centre decision link working hardware pc telephony section link catalogue working text please puma additional items required updated provided possible job started remain available other details needed kind regards officer wednesday re transfer form si la tuesday transfer form hi please fill enclosed form transfer thanks administration officer,1,6,1,7,95,3,4
install module new router,re critical peer session down hello about module replacement after everything mounted back powered thank engineer friday re critical peer session down shipping replacement router arrive unfortunately hardware known faulty problem module called inside router needs moved dead router router feel comfortable steps module dead router install let figure out visit site handle installation run router without part good install rack re rack again thanks motherboard step turn off electrical router leave cable plugged channel voltages ground step router cover step locate motherboard figure figure location content renditions screws connector standoffs step loosen screws step lift motherboard step static bag step replace cover install motherboard series install step warnings section disconnect replace module step turn off electrical router leave cable plugged channel voltages ground step cover step identify slot router main motherboard step locate standoffs motherboard figure step insert slot board note ensure press firmly until board seats onto connector step insert screws accessory standoffs tighten screws screwdriver torque nm step installed correctly board step replace cover friday re critical peer session down hello about questions bellow friday pm replace router right away thank friday re critical peer session down connected router via console working possible replace questions replacement blvd floor district person whose name shipment accept shipment dates times once shipment has arrived physically replace router right away feel comfortable doing work thanks friday re critical peer session down hello somebody charge pulled out both cords router re inserted stat led colour thank friday re critical peer session down number call were given number answered call please call work thanks friday re critical peer session down thanks phone number where call watch console output while tries boot ask pull both cords out then re insert vice president infrastructure networking two greenwich plaza greenwich ct friday re critical peer session down hello physical seems router signs picture attached back router stat led red colour picture attached tried restart nothing changed link led off additional details please let provide thank engineer friday re critical peer session down hi per monitoring primary router lost please physical along thanks regards infrastructure networking working pm friday re critical peer session down hi unable thanks regards infrastructure networking working pm friday re critical peer session down hi circuit went down sh sh summary router identifier number table version main routing table version entries bytes memory path entries bytes memory path attribute entries bytes memory path entries bytes memory community entries bytes memory route map entries bytes memory filter entries bytes memory total bytes memory received paths soft reconfiguration activity prefixes paths interval secs neighbor down idle thanks regards infrastructure networking working pm friday critical peer session down ca spectrum alarm details vt ca spectrum alarm id probable affected device details device name name description router branch location device type interface description probable cause peer session down symptoms session peer has established established probable causes communication peer has interrupted peer has peer down recommended actions status peer event session peer dynamic bb has gone established idle event ca spectrum console ca console disclaimer contain confidential privileged information intended recipient received error please notify immediately destroy delete hereby notified unauthorized copying disclosure material strictly prohibited communication informational purposes intended offer solicitation purchase sale instrument official confirmation transaction information contained communication warranted completeness accuracy subject change without notice comments statements made communication necessarily reflect affiliates,1,5,13,7,32,3,4
web,hello please order decommission best regards engineer friday re hi decommission best regards test consultant logo logo pm re hello performing determine unused requested deploy please let running decommission looking forward best regards engineer,1,4,2,87,95,3,4
transfer request oracle pas,same rights level please replicate buyer reports please make she programme report,1,4,2,21,66,3,4
extend mailbox size,extend mailbox size hi please extend mailbox size almost mb free please informed deleted unwanted mails large ones also thank kind regards ledger accountant,1,4,2,21,36,3,4
new card,card hi guys please que activate card worker paint wall morning best regards engineer ext,1,7,1,7,73,3,4
please schedule for monday the morning the below post version upgrade,please schedule morning post version upgrade hello upgrade dynamics has successfully completed please schedule morning post version upgrade best regards senior engineer friday re create snapshot production importance high dear please users attached templates please include he product owner app let questions,1,4,3,21,10,3,4
,hi looking share wanted appropriate location update location seems obvious choice owner regards,1,4,1,7,46,3,4
perform re indexing on prod every monday time,perform re indexing prod every,1,4,3,0,51,3,4
wants to access principles,wants principles principles document thank accept decline requests,1,4,1,7,46,3,4
time sheets,sheets hi please entries thank,1,4,2,21,67,3,4
addresses devices,re addresses devices hi mobile devices belong testing added perform tests part daily work please add thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions thursday pm addresses devices device name kind regards tester information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,6,1,7,52,3,4
retrieval new purchase po,purchase po dear purchased has please log allocation please log retrieve old device kind regards administrator,1,5,13,87,32,3,4
new starter tower,starter discipline dear please informed candidate accepted job offer become within discipline february please create her credentials per attached form thank best regards specialist,1,4,2,94,40,3,4
licence,licence hello please let tool cost install pc want investigate include invoice commercial client regards discipline lead,1,4,3,88,32,3,4
export gal,export gal hi guys please export gal tried doing myself returns empty rows table thank,1,4,2,88,36,3,4
visual studio,visual studio hello dear requires license visual studio possibility provide regards engineer mob,1,4,3,7,32,3,4
additional monitor,re additional monitor hello kindly asking log assign provide monitor please update relevant information after assisting thank kind regards administrator friday pm additional monitor hello please provide additional monitor relocated tower thank regards engineer mob,1,5,13,7,32,3,4
new version of the for for,version hi discussed installed slave download confirmation id thank senior engineer,1,4,3,7,49,3,4
new purchase po,hello received ex po please advise log kind regards engineer ext,1,5,13,7,32,3,4
access to upload and modify documents on,upload modify hi give write accumulations order add upload modify documentation please thank planned annual leave,1,4,1,7,46,3,4
admin account access level,level hi needed privileges work example even cannot registries modify certain files please same privileges colleagues example certainty thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,4,2,88,4,3,4